Column1,match,Team,bowlerName,overs.1,overs.2,maiden,runs,wickets,economy,zeros,fours,sixes,wides,noBalls,match_id,Balls
84,Scotland Vs Ireland,Scotland,Safyaan Sharif,3,0,0,32,1,10.66,3,4,0,1,0,T20I # 1833,18
85,Scotland Vs Ireland,Scotland,Chris Greaves,2,0,0,18,0,9,1,0,1,1,0,T20I # 1833,12
86,Scotland Vs Ireland,Scotland,Michael Leask,2,0,0,16,1,8,2,1,0,0,0,T20I # 1833,12
87,West Indies Vs Zimbabwe,Zimbabwe,Richard Ngarava,3,0,0,20,0,6.66,9,1,1,1,0,T20I # 1834,18
88,West Indies Vs Zimbabwe,Zimbabwe,Tendai Chatara,3,0,0,22,0,7.33,5,2,0,2,0,T20I # 1834,18
89,West Indies Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,0,38,2,9.5,10,2,2,2,1,T20I # 1834,24
90,West Indies Vs Zimbabwe,Zimbabwe,Ryan Burl,3,0,0,27,0,9,5,3,1,0,0,T20I # 1834,18
91,West Indies Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,0,19,3,4.75,7,0,0,0,0,T20I # 1834,24
92,West Indies Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,0,17,1,5.66,7,1,0,0,1,T20I # 1834,18
93,West Indies Vs Zimbabwe,West Indies,Kyle Mayers,1,0,0,17,0,17,3,3,0,1,0,T20I # 1834,6
94,West Indies Vs Zimbabwe,West Indies,Akeal Hosein,4,0,0,25,1,6.25,12,1,1,1,1,T20I # 1834,24
95,West Indies Vs Zimbabwe,West Indies,Alzarri Joseph,4,0,0,16,4,4,16,1,1,0,0,T20I # 1834,24
96,West Indies Vs Zimbabwe,West Indies,Obed McCoy,3,0,0,19,1,6.33,9,3,0,0,0,T20I # 1834,18
97,West Indies Vs Zimbabwe,West Indies,Jason Holder,3,2,0,12,3,3.6,12,1,0,0,0,T20I # 1834,20
98,West Indies Vs Zimbabwe,West Indies,Odean Smith,3,0,0,31,1,10.33,8,4,1,1,1,T20I # 1834,18
99,Sri Lanka Vs Netherlands,Netherlands,Fred Klaassen,4,0,0,34,1,8.5,9,1,2,0,0,T20I # 1835,24
100,Sri Lanka Vs Netherlands,Netherlands,Tim Pringle,3,0,0,22,0,7.33,8,0,2,0,0,T20I # 1835,18
101,Sri Lanka Vs Netherlands,Netherlands,Roelof van der Merwe,3,0,0,16,0,5.33,10,2,0,0,0,T20I # 1835,18
102,Sri Lanka Vs Netherlands,Netherlands,Paul van Meekeren,4,0,0,25,2,6.25,11,3,0,1,0,T20I # 1835,24
103,Sri Lanka Vs Netherlands,Netherlands,Bas de Leede,3,0,0,31,2,10.33,5,2,2,0,0,T20I # 1835,18
104,Sri Lanka Vs Netherlands,Netherlands,Timm van der Gugten,3,0,0,31,1,10.33,3,2,1,0,0,T20I # 1835,18
105,Sri Lanka Vs Netherlands,Sri Lanka,Dhananjaya de Silva,1,0,0,5,0,5,1,0,0,0,0,T20I # 1835,6
106,Sri Lanka Vs Netherlands,Sri Lanka,Lahiru Kumara,4,0,0,28,1,7,14,2,1,1,0,T20I # 1835,24
107,Sri Lanka Vs Netherlands,Sri Lanka,Binura Fernando,4,0,0,33,1,8.25,11,4,1,1,0,T20I # 1835,24
108,Sri Lanka Vs Netherlands,Sri Lanka,Maheesh Theekshana,4,0,0,32,2,8,12,1,2,2,1,T20I # 1835,24
109,Sri Lanka Vs Netherlands,Sri Lanka,Wanindu Hasaranga de Silva,4,0,0,28,3,7,11,3,0,0,0,T20I # 1835,24
110,Sri Lanka Vs Netherlands,Sri Lanka,Chamika Karunaratne,2,0,0,11,0,5.5,6,1,0,1,0,T20I # 1835,12
111,Sri Lanka Vs Netherlands,Sri Lanka,Dasun Shanaka,1,0,0,7,0,7,3,1,0,0,0,T20I # 1835,6
112,U.A.E. Vs Namibia,Namibia,Ruben Trumpelmann,4,0,0,22,0,5.5,10,0,0,3,0,T20I # 1836,24
113,U.A.E. Vs Namibia,Namibia,David Wiese,4,0,0,27,1,6.75,12,2,1,1,0,T20I # 1836,24
